Losses by Unit (Binary)
Week,Unit,Team,Round,Map,Loss
1,SR,Team A,1,Colquitt's Defence,0
1,CB,Team A,1,Colquitt's Defence,0
1,12th VA,Team A,1,Colquitt's Defence,0
1,TKO,Team A,1,Colquitt's Defence,0
1,FSB,Team A,1,Colquitt's Defence,0
1,10th US,Team A,1,Colquitt's Defence,0
1,59th NY,Team A,1,Colquitt's Defence,0
1,51st AL,Team B,1,Colquitt's Defence,1
1,II Corps,Team B,1,Colquitt's Defence,1
1,10th TN,Team B,1,Colquitt's Defence,1
1,7th TX,Team B,1,Colquitt's Defence,1
1,JD,Team B,1,Colquitt's Defence,1
1,CQB,Team B,1,Colquitt's Defence,1
1,MSG,Team B,1,Colquitt's Defence,1
1,AVC,Team B,1,Colquitt's Defence,1
1,SR,Team A,2,Wagon Road,0
1,CB,Team A,2,Wagon Road,0
1,12th VA,Team A,2,Wagon Road,0
1,TKO,Team A,2,Wagon Road,0
1,FSB,Team A,2,Wagon Road,0
1,10th US,Team A,2,Wagon Road,0
1,59th NY,Team A,2,Wagon Road,0
1,51st AL,Team B,2,Wagon Road,1
1,II Corps,Team B,2,Wagon Road,1
1,10th TN,Team B,2,Wagon Road,1
1,7th TX,Team B,2,Wagon Road,1
1,JD,Team B,2,Wagon Road,1
1,CQB,Team B,2,Wagon Road,1
1,MSG,Team B,2,Wagon Road,1
1,AVC,Team B,2,Wagon Road,1
2,SR,Team B,1,East Woods Skirmish,0
2,51st AL,Team B,1,East Woods Skirmish,0
2,CB,Team B,1,East Woods Skirmish,0
2,7th TX,Team B,1,East Woods Skirmish,0
2,MSG,Team B,1,East Woods Skirmish,0
2,FSB,Team B,1,East Woods Skirmish,0
2,AVC,Team B,1,East Woods Skirmish,0
2,12th VA,Team B,1,East Woods Skirmish,0
2,II Corps,Team A,1,East Woods Skirmish,1
2,10th TN,Team A,1,East Woods Skirmish,1
2,JD,Team A,1,East Woods Skirmish,1
2,TKO,Team A,1,East Woods Skirmish,1
2,CQB,Team A,1,East Woods Skirmish,1
2,10th US,Team A,1,East Woods Skirmish,1
2,59th NY,Team A,1,East Woods Skirmish,1
2,II Corps,Team A,2,Hooker's Push,0
2,10th TN,Team A,2,Hooker's Push,0
2,JD,Team A,2,Hooker's Push,0
2,TKO,Team A,2,Hooker's Push,0
2,CQB,Team A,2,Hooker's Push,0
2,10th US,Team A,2,Hooker's Push,0
2,59th NY,Team A,2,Hooker's Push,0
2,SR,Team B,2,Hooker's Push,1
2,51st AL,Team B,2,Hooker's Push,1
2,CB,Team B,2,Hooker's Push,1
2,7th TX,Team B,2,Hooker's Push,1
2,MSG,Team B,2,Hooker's Push,1
2,FSB,Team B,2,Hooker's Push,1
2,AVC,Team B,2,Hooker's Push,1
2,12th VA,Team B,2,Hooker's Push,1
3,II Corps,Team B,1,Cooke's Countercharge,0
3,7th TX,Team B,1,Cooke's Countercharge,0
3,CQB,Team B,1,Cooke's Countercharge,0
3,MSG,Team B,1,Cooke's Countercharge,0
3,FSB,Team B,1,Cooke's Countercharge,0
3,12th VA,Team B,1,Cooke's Countercharge,0
3,59th NY,Team B,1,Cooke's Countercharge,0
3,51st AL,Team A,1,Cooke's Countercharge,1
3,10th TN,Team A,1,Cooke's Countercharge,1
3,CB,Team A,1,Cooke's Countercharge,1
3,10th US,Team A,1,Cooke's Countercharge,1
3,JD,Team A,1,Cooke's Countercharge,1
3,TKO,Team A,1,Cooke's Countercharge,1
3,AVC,Team A,1,Cooke's Countercharge,1
3,51st AL,Team A,2,Maryland Heights,0
3,10th TN,Team A,2,Maryland Heights,0
3,CB,Team A,2,Maryland Heights,0
3,10th US,Team A,2,Maryland Heights,0
3,JD,Team A,2,Maryland Heights,0
3,TKO,Team A,2,Maryland Heights,0
3,AVC,Team A,2,Maryland Heights,0
3,II Corps,Team B,2,Maryland Heights,1
3,7th TX,Team B,2,Maryland Heights,1
3,CQB,Team B,2,Maryland Heights,1
3,MSG,Team B,2,Maryland Heights,1
3,FSB,Team B,2,Maryland Heights,1
3,12th VA,Team B,2,Maryland Heights,1
3,59th NY,Team B,2,Maryland Heights,1
4,10th TN,Team A,1,Otto & Sherrick Farm,0
4,CB,Team A,1,Otto & Sherrick Farm,0
4,JD,Team A,1,Otto & Sherrick Farm,0
